"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"CNPS","2026-09-24","15:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Suite de l’ordre du jour du matin."
"COMPER","2026-09-22","21:30","Commission des affaires économiques","suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"MISFLASH","2026-09-23","10:30","Mission flash sur l'impact environnemental des aliments ultra-transformés","- Agence nationale de sécurité sanitaire de l’alimentation, de l’environnement et du travail (Anses) :M. Matthieu Schuler, directeur général délégué chargé du pôle sciences pour l’expertiseMme Irène Margaritis, adjointe au directeur de l’évaluation du risque et responsable du domaine « alimentation, santé animale et végétale »Mme Sarah Aubertie, chargée des relations institutionnelles"
"MISINFO","2026-09-24","11:00","Mission d'information sur l'ouverture de la voie du Nord et les enjeux de défense","audition de M. Hervé Baudu, professeur émérite de l’Enseignement maritime et chargé de mission auprès de la Marine nationale pour les enjeux polaires arctiques."
"COMPER","2026-10-01","10:00","Commission de la défense nationale et des forces armées","élection du Bureau de la Commission."
"CNPS","2026-09-25","09:00","Commission spéciale chargée d'examiner la proposition de loi apportant une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants et la proposition de loi organique visant à adapter l'autorité judiciaire à la lutte contre les violences sexuelles et intrafamiliales","Éventuellement, suite de l’examen de la proposition de loi visant à apporter une réponse intégrale au phénomène des violences sexuelles et sexistes contre les femmes et les enfants (n° 3106) (Mme Céline Thiébault-Martinez, rapporteure)."
"COMPER","2026-09-23","14:30","Commission des affaires économiques","suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"COMPER","2026-09-23","09:00","Commission des affaires étrangères","audition, ouverte à la presse, de Mme Chantal Verger, présidente de la commission d’évaluation de l’aide publique au développement (CEAPD), et de M. Denis Tersen, rapporteur de l’étude-diagnostic sur les flux financiers de l’APD française, accompagnés de M. Olivier Brochenin, secrétaire général de la commission d’évaluation ;nomination de rapporteurs d’information sur :la vulnérabilité des détroits et passages maritimes ;l’attractivité scientifique et universitaire de la France dans un contexte de compétition mondiale ;le bilan de la mise en oeuvre du rapport Pour une amélioration de la délivrance des visas – dit « Hermelin » – et du processus d’externalisation de certains aspects de la délivrance des visas."
"COMPER","2026-09-24","09:30","Commission des affaires économiques","éventuellement, suite de l’examen du projet de loi, adopté par le Sénat, visant la relance et la décentralisation du logement (n° 3058) (Mme Annaïg Le Meur, rapporteure)."
"CNPE","2026-09-22","11:00","Commission d'enquête sur les causes et les conséquences de l'augmentation de la pauvreté, notamment pour les travailleurs séniors et les personnes âgées, et les manquements des politiques publiques pour y faire face","table ronde, ouverte à la presse, sur le sujet du non recours aux prestations sociales : M. Paul Hobeika, sociologue, Mme Héléna Revil (en visioconférence), membre de l’Observatoire des non recours aux droits et aux services (ODENORE), M. Jacques Rougeaux, secrétaire de l’association aide dossier retraite (ADIPR) de Paris, et M. Raphaël Quartier, chargé d’études statistiques au Secours catholique – Caritas France."
"GA","2026-09-24","14:00","France-Géorgie",""
"MISEVAL","2026-09-24","09:00","Mission d’évaluation des politiques de santé environnementale (second volet)","table ronde d’associations de victimes et acteurs engagés dans la prévention des risques chimiques professionnels, réunissant : M. Bernard Bouché, militant de l’Association Henri Pézerat ; MM. François Desriaux, porte-parole, et Jean-François Fournial, administrateur, Association nationale de défense des victimes de l’amiante et autres maladies professionnelles (Andeva) ; M. Philippe Karim Felissi, avocat conseil auprès de la FNATH, Association des accidentés de la vie ; et M. Antoine Lambert, président de l’association Phyto-Victimes."
