"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM858982","PA794530","Matthieu Marchio","PO851234","GA","France-Belgique","2025-01-24","","Membre"
"PM858369","PA1327","Nicolas Forissier","PO851919","GA","France-Chili","2025-01-23","2025-11-12","Membre"
"PM861496","PA720370","Ludovic Mendes","PO851919","GA","France-Chili","2025-01-30","","Membre"
"PM857637","PA695512","Guillaume Lepers","PO854561","GE","Santé mentale","2025-01-22","2026-04-20","Membre"
"PM860764","PA720190","Bertrand Sorre","PO851294","GA","France-Guinée-Bissao","2025-01-29","","Membre"
"PM856193","PA607619","Paul Molac","PO854293","GE","Langues et cultures régionales","2025-01-15","","Membre"
"PM859893","PA795310","Clémence Guetté","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-28","","Co-Président"
"PM856905","PA712015","Julien Dive","PO854157","GE","Filière brassicole","2025-01-17","","Membre"
"PM855461","PA643175","Stella Dupont","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-07","","Membre"
"PM858548","PA795900","Marine Hamelet","PO851924","GA","France-Sénégal","2025-01-23","","Membre"
"PM861675","PA718674","Olga Givernet","PO851492","GA","France-Suisse","2025-01-31","","Président"
"PM857816","PA720342","Nicole Le Peih","PO851284","GA","France-Côte d'Ivoire","2025-01-23","","Membre"
"PM860943","PA841587","David Magnier","PO851939","GEVI","Groupe d'études à vocation internationale sur la Biélorussie","2025-01-29","","Membre"
"PM856372","PA793664","Marie Pochon","PO854349","GE","Forêt et filière bois","2025-01-15","","Membre"
"PM855640","PA841825","Patrice Martin","PO854308","GE","Littoral","2025-01-09","","Membre"
"PM859459","PA721004","Amélia Lakrafi","PO851612","GA","France-Maroc","2025-01-27","","Membre"
"PM855027","PA335054","Marietta Karamanli","PO854454","GE","Aéronautique et espace","2024-12-23","","Membre"
"PM861854","PA840801","Emmanuel Fouquart","PO851492","GA","France-Suisse","2025-02-03","","Membre"
"PM857283","PA840171","Emmanuel Grégoire","PO854354","GE","Condition et bien-être des animaux","2025-01-22","2026-04-09","Membre"
"PM856551","PA721816","Ian Boucard","PO854391","GE","Villes et banlieues","2025-01-16","","Membre"
"PM863497","PA795228","Nadège Abomangoli","PO854460","GE","Sahara occidental","2025-02-06","","Membre"
"PM859638","PA721296","Guillaume Gouffier Valente","PO851673","GA","France-Allemagne","2025-01-27","","Membre"
"PM862765","PA841067","Alexandre Allegret-Pilot","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-02-05","","Membre"
"PM855206","PA267200","Sébastien Huyghe","PO854157","GE","Filière brassicole","2024-12-27","","Membre"
"PM858906","PA719512","Corinne Vignon","PO854454","GE","Aéronautique et espace","2025-01-24","","Membre"
"PM863676","PA267306","André Chassaigne","PO851432","GA","France-Irlande","2025-02-10","2025-03-31","Vice-Président"
"PM859817","PA267794","Michèle Tabarot","PO851447","GA","France-Haïti","2025-01-28","","Membre"
"PM862944","PA793624","Philippe Brun","PO856882","GA","France-Palestine","2025-02-05","","Membre"
"PM858373","PA1327","Nicolas Forissier","PO851437","GA","France-Corée du Sud","2025-01-23","2025-11-12","Membre"
"PM857641","PA796050","Philippe Schreck","PO854184","GE","Prisons et conditions carcérales","2025-01-23","","Membre"
"PM864587","PA330008","Xavier Breton","PO854406","GE","Enseignement privé","2025-02-14","","Membre"
"PM857028","PA841621","Auguste Evrard","PO854525","GE","Chasse et pêche","2025-01-20","","Membre"
"PM860155","PA795228","Nadège Abomangoli","PO856870","GA","France-Rwanda","2025-01-28","","Membre"
"PM863855","PA795228","Nadège Abomangoli","PO851638","GA","France-Pakistan","2025-02-10","","Membre"
"PM859284","PA794886","Sophie Blanc","PO851658","GA","France-Danemark","2025-01-25","2025-03-10","Membre"
"PM868020","PA795962","Joséphine Missoffe","PO851487","GA","France-Cameroun","2025-04-01","2025-12-22","Membre"
"PM858552","PA795900","Marine Hamelet","PO851854","GA","France-Soudan","2025-01-23","","Membre"
"PM865498","PA793664","Marie Pochon","PO851729","GA","France-Irak","2025-02-20","","Membre"
"PM861066","PA643175","Stella Dupont","PO851924","GA","France-Sénégal","2025-01-30","","Membre"
"PM857820","PA720342","Nicole Le Peih","PO851612","GA","France-Maroc","2025-01-23","","Membre"
"PM874234","PA794094","Mickaël Bouloux","PO851294","GA","France-Guinée-Bissao","2025-10-25","","Membre"
"PM864766","PA719938","Marc Fesneau","PO854444","GE","Cheval","2025-02-17","","Membre"
"PM860334","PA720908","Naïma Moutchou","PO851522","GA","France-Québec","2025-01-28","2025-11-12","Membre"
"PM859463","PA721004","Amélia Lakrafi","PO851532","GA","France-Nigéria","2025-01-27","","Membre"
"PM862590","PA840979","Corentin Le Fur","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-05","","Membre"
"PM855031","PA793254","Julien Rancoule","PO854525","GE","Chasse et pêche","2024-12-23","","Membre"
"PM875145","PA794894","Anaïs Sabatini","PO854561","GE","Santé mentale","2025-11-17","","Membre"
"PM858118","PA794906","Gabriel Amard","PO851869","GA","France-Macédoine du Nord","2025-01-23","","Membre"
"PM864945","PA719032","Bertrand Bouyx","PO851939","GEVI","Groupe d'études à vocation internationale sur la Biélorussie","2025-02-18","","Vice-Président"
"PM881359","PA841801","Danièle Carteron","PO851422","GA","France-Kazakhstan","2026-04-30","","Membre"
"PM859642","PA721296","Guillaume Gouffier Valente","PO851477","GA","France-Brésil","2025-01-27","","Membre"
"PM855210","PA841315","Karim Benbrahim","PO854396","GE","Énergies durables et hydrogène","2024-12-27","","Membre"
"PM879756","PA793134","Jérôme Buisson","PO854449","GE","Alzheimer et maladies neurodégénératives","2026-03-28","","Membre"
"PM859029","PA794906","Gabriel Amard","PO851339","GA","France-Vietnam","2025-01-24","","Membre"
"PM862156","PA795046","Caroline Yadan","PO851376","GA","France-Italie","2025-02-03","","Membre"
"PM858910","PA793398","Jérémie Patrier-Leitus","PO851607","GA","France-Croatie","2025-01-24","","Membre"
"PM875324","PA608016","Véronique Louwagie","PO851279","GA","France-Slovaquie","2025-11-19","2026-04-21","Membre"
"PM865856","PA793230","Angélique Ranc","PO854251","GE","Autisme","2025-02-18","","Vice-Président"
"PM861424","PA841539","Julien Gokel","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-01-30","2026-04-19","Membre"
"PM863680","PA335612","Jean-Paul Lecoq","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-02-10","","Vice-Président"
"PM863067","PA642868","Paul Christophe","PO854251","GE","Autisme","2025-02-05","2026-04-06","Membre"
"PM859821","PA267794","Michèle Tabarot","PO851612","GA","France-Maroc","2025-01-28","","Membre"
"PM862335","PA607193","Sophie Errante","PO854454","GE","Aéronautique et espace","2025-02-04","","Membre"
"PM875503","PA795334","Benoît Larrouquis","PO851417","GA","France-Suriname-Guyana","2025-11-24","","Membre"
"PM864591","PA330008","Xavier Breton","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-02-14","","Membre"
"PM861603","PA794094","Mickaël Bouloux","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-31","","Membre"
"PM857032","PA840915","Thibaut Monnier","PO854411","GE","Industries de défense","2025-01-20","","Membre"
"PM867678","PA793872","Nathalie Oziol","PO851482","GA","France-Madagascar","2025-03-26","","Membre"
"PM863246","PA267306","André Chassaigne","PO851612","GA","France-Maroc","2025-02-06","2025-03-31","Membre"
"PM866946","PA841613","Marc de Fleurian","PO854200","GE","Conditions d’accueil des migrants et mineurs non accompagnés","2025-03-15","2025-05-06","Membre"
"PM862514","PA722252","Marie-Pierre Rixain","PO851884","GA","France-Norvège","2025-02-04","","Membre"
"PM861070","PA719890","Danielle Brulebois","PO851492","GA","France-Suisse","2025-01-30","","Membre"
"PM864770","PA719938","Marc Fesneau","PO854439","GE","Impact des changements climatiques","2025-02-17","","Membre"
"PM864157","PA721182","Frédéric Petit","PO851673","GA","France-Allemagne","2025-02-11","","Vice-Président"
"PM867857","PA793696","Serge Muller","PO854486","GE","Maladies rares","2025-03-28","","Membre"
"PM863425","PA841681","Thierry Sother","PO851350","GA","France-Japon","2025-02-06","2026-04-15","Vice-Président"
"PM865681","PA840997","Benoît Biteau","PO854444","GE","Cheval","2025-02-21","","Vice-Président"
"PM858122","PA794906","Gabriel Amard","PO851819","GA","France-Roumanie","2025-01-23","","Membre"
"PM868768","PA795228","Nadège Abomangoli","PO851355","GA","France-Amérique centrale","2025-03-13","","Vice-Président"
"PM871895","PA794570","Alexandre Sabatou","PO851355","GA","France-Amérique centrale","2025-07-01","2025-09-07","Membre"
"PM854868","PA793572","Christophe Plassard","PO854308","GE","Littoral","2024-12-20","","Membre"
"PM866592","PA267780","Agnès Firmin Le Bodo","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-03-10","","Secrétaire"
"PM879760","PA842299","Emmanuel Tjibaou","PO851344","GA","France-Afrique du Sud","2026-03-29","","Membre"
"PM859033","PA793940","Thomas Cazenave","PO851924","GA","France-Sénégal","2025-01-24","2026-04-26","Membre"
"PM865860","PA267780","Agnès Firmin Le Bodo","PO854251","GE","Autisme","2025-02-18","","Vice-Président"
"PM858301","PA720354","Jean-Michel Jacques","PO851914","GA","France-Etats-Unis","2025-01-23","","Membre"
"PM865247","PA842125","Thomas Lam","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-02-19","","Vice-Président"
"PM878415","PA841973","Pierre-Henri Carbonnel","PO854434","GE","Élevage et pastoralisme","2026-02-04","","Membre"
"PM855779","PA841327","Fabrice Roussel","PO854323","GE","Logement et écoconstruction","2025-01-13","","Membre"
"PM864515","PA840889","Matthieu Bloch","PO851492","GA","France-Suisse","2025-02-13","","Vice-Président"
"PM863071","PA642868","Paul Christophe","PO854308","GE","Littoral","2025-02-05","2026-04-06","Membre"
"PM882453","PA793182","Jorys Bovet","PO851437","GA","France-Corée du Sud","2026-05-26","","Membre"
"PM872985","PA841023","Pierre-Yves Cadalen","PO872299","GE","Amiante","2025-09-19","","Membre"
"PM855958","PA841587","David Magnier","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-14","","Membre"
"PM867682","PA793872","Nathalie Oziol","PO851709","GA","France-Seychelles","2025-03-26","","Membre"
"PM863250","PA267306","André Chassaigne","PO851254","GA","France-Algérie","2025-02-06","2025-03-31","Membre"
"PM884808","PA794262","Patricia Maussion","PO854168","GE","Tourisme et patrimoine","2026-07-21","","Membre"
"PM866950","PA841613","Marc de Fleurian","PO854454","GE","Aéronautique et espace","2025-03-15","2025-03-17","Membre"
"PM866337","PA842271","Emmanuel Maurel","PO851572","GA","France-Slovénie","2025-03-06","","Vice-Président"
"PM865605","PA793832","Yoann Gillet","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-20","","Vice-Président"
"PM864161","PA721182","Frédéric Petit","PO851844","GA","France-République d'Autriche","2025-02-11","","Vice-Président"
"PM867861","PA793696","Serge Muller","PO854465","GE","Gens du voyage","2025-03-28","","Membre"
"PM868772","PA795228","Nadège Abomangoli","PO851366","GA","France-Cambodge","2025-03-13","","Vice-Président"
"PM854872","PA793572","Christophe Plassard","PO854364","GE","Thermalisme","2024-12-20","","Membre"
"PM868159","PA841729","Abdelkader Lahmar","PO851909","GA","France-Qatar","2025-04-03","","Membre"
"PM857959","PA841471","Stéphane Hablot","PO854391","GE","Villes et banlieues","2025-01-23","","Membre"
"PM865251","PA794330","Anthony Brosse","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-02-19","","Secrétaire"
"PM855783","PA840939","Océane Godard","PO854200","GE","Conditions d’accueil des migrants et mineurs non accompagnés","2025-01-13","","Membre"
"PM861997","PA840979","Corentin Le Fur","PO851859","GA","France-Suède","2025-02-03","","Membre"
"PM856694","PA841845","Arnaud Saint-Martin","PO854439","GE","Impact des changements climatiques","2025-01-16","","Membre"
"PM855962","PA795786","Yaël Ménaché","PO854349","GE","Forêt et filière bois","2025-01-14","","Membre"
"PM855349","PA607395","Stéphane Travert","PO854491","GE","Ruralité","2025-01-06","","Membre"
"PM854617","PA774960","Isabelle Santiago","PO854278","GE","Déserts médicaux et accès aux soins","2024-12-19","","Membre"
"PM855528","PA721932","Marie-France Lorho","PO854454","GE","Aéronautique et espace","2025-01-08","","Membre"
"PM857784","PA607619","Paul Molac","PO851432","GA","France-Irlande","2025-01-23","","Membre"
"PM860298","PA794954","Emeric Salmon","PO851324","GA","France-Niger","2025-01-28","","Président"
"PM863998","PA841769","Éric Michoux","PO854396","GE","Énergies durables et hydrogène","2025-02-11","","Membre"
"PM856439","PA1327","Nicolas Forissier","PO854288","GE","Attractivité économique et export","2025-01-15","2025-11-12","Membre"
"PM868163","PA841729","Abdelkader Lahmar","PO851904","GA","France-Emirats Arabes Unis","2025-04-03","","Membre"
"PM858695","PA795808","Sabrina Sebaihi","PO851965","GEVI","Groupe d'études à vocation internationale France-Syrie","2025-01-23","","Membre"
"PM857963","PA793844","Pascale Bordes","PO851314","GA","France-Uruguay","2025-01-23","2025-05-20","Membre"
"PM874377","PA841487","Anthony Boulogne","PO851437","GA","France-Corée du Sud","2025-10-31","","Membre"
"PM860477","PA722000","Stéphane Buchou","PO851914","GA","France-Etats-Unis","2025-01-28","","Membre"
"PM856618","PA841931","Laurent Mazaury","PO854391","GE","Villes et banlieues","2025-01-16","","Membre"
"PM855174","PA841893","Céline Thiébault-Martinez","PO854278","GE","Déserts médicaux et accès aux soins","2024-12-24","","Membre"
"PM858874","PA842187","Gabrielle Cathala","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-23","","Membre"
"PM860656","PA719550","Liliana Tanguy","PO851517","GA","France-Russie","2025-01-29","","Membre"
"PM859785","PA795998","Émeline K/Bidi","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-28","","Membre"
"PM855353","PA722000","Stéphane Buchou","PO854308","GE","Littoral","2025-01-06","","Membre"
"PM879899","PA266797","Philippe Gosselin","PO851794","GA","France-Chine","2026-04-01","","Membre"
"PM854621","PA774960","Isabelle Santiago","PO854323","GE","Logement et écoconstruction","2024-12-19","","Membre"
"PM865999","PA795636","Benjamin Lucas-Lundy","PO851386","GA","France-Royaume des Pays-Bas","2025-03-03","","Membre"
"PM861567","PA796070","Perceval Gaillard","PO854561","GE","Santé mentale","2025-01-31","","Membre"
"PM873291","PA608264","Colette Capdevielle","PO854246","GE","VIH et Sida","2025-10-02","","Membre"
"PM857708","PA840135","Alexandre Dufosset","PO851396","GA","France-Mongolie","2025-01-23","","Membre"
"PM860835","PA794582","Kévin Pfeffer","PO854354","GE","Condition et bien-être des animaux","2025-01-29","","Membre"
"PM856264","PA841777","Arnaud Sanvert","PO854491","GE","Ruralité","2025-01-15","2025-03-07","Membre"
"PM865000","PA841047","François-Xavier Ceccoli","PO851607","GA","France-Croatie","2025-02-18","","Membre"
"PM859964","PA795100","Éric Martineau","PO854273","GE","Discriminations et LGBTQI-phobies","2025-01-28","","Co-Président"
"PM855532","PA721932","Marie-France Lorho","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-08","","Membre"
"PM858619","PA793254","Julien Rancoule","PO851744","GA","France-Andorre","2025-01-23","","Membre"
"PM861746","PA719372","Guillaume Kasbarian","PO854343","GE","Vigne, vin et œnologie","2025-02-02","","Membre"
"PM856443","PA1327","Nicolas Forissier","PO854349","GE","Forêt et filière bois","2025-01-15","2025-11-12","Membre"
"PM863389","PA721004","Amélia Lakrafi","PO851361","GA","France-Koweit","2025-02-06","","Vice-Président"
"PM874381","PA841487","Anthony Boulogne","PO851304","GA","France-Israël","2025-10-31","","Membre"
"PM861925","PA840979","Corentin Le Fur","PO851229","GA","France-Hongrie","2025-02-03","","Membre"
"PM857354","PA841885","Arnaud Bonnet","PO854406","GE","Enseignement privé","2025-01-22","","Membre"
"PM860481","PA722000","Stéphane Buchou","PO851542","GA","France-Monaco","2025-01-28","","Membre"
"PM877468","PA721816","Ian Boucard","PO851254","GA","France-Algérie","2026-01-10","","Membre"
"PM863568","PA1592","David Habib","PO851304","GA","France-Israël","2025-02-07","","Vice-Président"
"PM856009","PA309643","Véronique Besse","PO854333","GE","Industries du luxe","2025-01-14","","Membre"
"PM859709","PA793832","Yoann Gillet","PO851502","GA","France-Pérou","2025-01-27","","Membre"
"PM862836","PA795454","Karim Ben Cheikh","PO851547","GA","France-Afrique australe","2025-02-05","","Vice-Président"
"PM858265","PA841183","Hanane Mansouri","PO851904","GA","France-Emirats Arabes Unis","2025-01-23","","Membre"
"PM867001","PA841613","Marc de Fleurian","PO851567","GA","France-Finlande","2025-03-15","2025-03-17","Membre"
"PM860660","PA719550","Liliana Tanguy","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-29","","Membre"
"PM864479","PA719286","Paul-André Colombani","PO854293","GE","Langues et cultures régionales","2025-02-12","","Vice-Président"
"PM860047","PA842155","Aly Diouara","PO851219","GA","France-Gambie","2025-01-28","","Président"
"PM856801","PA718838","Fabrice Brun","PO854406","GE","Enseignement privé","2025-01-17","","Membre"
"PM863747","PA722336","Vincent Thiébaut","PO854349","GE","Forêt et filière bois","2025-02-10","","Membre"
"PM859176","PA793094","Nicolas Ray","PO851678","GA","France-Togo","2025-01-24","","Membre"
"PM858444","PA1327","Nicolas Forissier","PO851899","GA","France-Thaïlande","2025-01-23","2025-11-12","Membre"
"PM861571","PA796070","Perceval Gaillard","PO854168","GE","Tourisme et patrimoine","2025-01-31","","Membre"
"PM857712","PA840135","Alexandre Dufosset","PO851673","GA","France-Allemagne","2025-01-23","","Membre"
"PM860226","PA840837","Pascal Markowsky","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-01-28","","Membre"
"PM863926","PA720838","Soumya Bourouaha","PO854476","GE","Cinéma et production audiovisuelle","2025-02-11","","Membre"
"PM859355","PA793122","Romain Daubié","PO851824","GA","France-République dominicaine","2025-01-26","","Membre"
"PM875650","PA721932","Marie-France Lorho","PO851709","GA","France-Seychelles","2025-11-26","","Vice-Président"
"PM858623","PA793254","Julien Rancoule","PO851376","GA","France-Italie","2025-01-23","","Membre"
"PM861750","PA719372","Guillaume Kasbarian","PO854333","GE","Industries du luxe","2025-02-02","","Membre"
"PM865569","PA793432","Franck Allisio","PO851612","GA","France-Maroc","2025-02-20","","Vice-Président"
"PM864837","PA266797","Philippe Gosselin","PO851673","GA","France-Allemagne","2025-02-18","","Vice-Président"
"PM863393","PA842311","Vincent Caure","PO851259","GA","France-Lettonie","2025-02-06","","Vice-Président"
"PM860405","PA794562","Philippe Ballard","PO851339","GA","France-Vietnam","2025-01-28","","Membre"
"PM859534","PA842045","Julie Ozenne","PO851447","GA","France-Haïti","2025-01-27","","Membre"
"PM858090","PA794678","Thierry Frappé","PO851467","GA","France-Pologne","2025-01-23","","Membre"
"PM862048","PA719558","Erwan Balanant","PO854184","GE","Prisons et conditions carcérales","2025-02-03","","Membre"
"PM858802","PA795244","Stéphane Lenormand","PO851522","GA","France-Québec","2025-01-23","","Président"
"PM865748","PA841613","Marc de Fleurian","PO851487","GA","France-Cameroun","2025-02-24","2025-02-25","Membre"
"PM861316","PA719372","Guillaume Kasbarian","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-30","","Membre"
"PM863572","PA796078","Estelle Youssouffa","PO851909","GA","France-Qatar","2025-02-07","","Vice-Président"
"PM856013","PA309643","Véronique Besse","PO854369","GE","Spectacle vivant","2025-01-14","","Membre"
"PM859713","PA793832","Yoann Gillet","PO851209","GA","France-Jamaïque","2025-01-27","","Membre"
"PM862840","PA842013","Steevy Gustave","PO851274","GA","France-Bénin","2025-02-05","","Membre"
"PM862227","PA720146","Denis Masséglia","PO851437","GA","France-Corée du Sud","2025-02-04","","Membre"
"PM864483","PA719138","Michel Castellani","PO854293","GE","Langues et cultures régionales","2025-02-12","","Secrétaire"
"PM860051","PA842187","Gabrielle Cathala","PO851447","GA","France-Haïti","2025-01-28","","Président"
"PM863751","PA722336","Vincent Thiébaut","PO854293","GE","Langues et cultures régionales","2025-02-10","","Membre"
"PM863138","PA795046","Caroline Yadan","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-05","","Vice-Président"
"PM862406","PA794106","Andrée Taurinya","PO851744","GA","France-Andorre","2025-02-04","","Membre"
"PM857103","PA607619","Paul Molac","PO854343","GE","Vigne, vin et œnologie","2025-01-21","","Membre"
"PM860230","PA793314","Alexandra Masson","PO851376","GA","France-Italie","2025-01-28","2026-04-21","Président"
"PM864049","PA841769","Éric Michoux","PO851749","GA","France-Liban","2025-02-11","","Membre"
"PM863930","PA794938","Idir Boumertit","PO856882","GA","France-Palestine","2025-02-11","","Membre"
"PM867749","PA793664","Marie Pochon","PO854491","GE","Ruralité","2025-03-26","","Vice-Président"
"PM865573","PA793616","Kévin Mauvieux","PO851522","GA","France-Québec","2025-02-20","","Vice-Président"
"PM858014","PA841777","Arnaud Sanvert","PO851537","GA","France-Ukraine","2025-01-23","2025-03-07","Membre"
"PM864841","PA718850","Pierre Cordier","PO851234","GA","France-Belgique","2025-02-18","","Vice-Président"
"PM862052","PA719558","Erwan Balanant","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-02-03","","Membre"
"PM865752","PA841613","Marc de Fleurian","PO851284","GA","France-Côte d'Ivoire","2025-02-24","2025-02-25","Membre"
"PM861320","PA718784","Éric Pauget","PO851914","GA","France-Etats-Unis","2025-01-30","","Membre"
"PM881434","PA718820","Pauline Cestrières","PO854396","GE","Énergies durables et hydrogène","2026-05-04","","Membre"
"PM871966","PA794570","Alexandre Sabatou","PO851381","GA","France-Laos","2025-07-01","2025-09-07","Membre"
"PM854939","PA842037","Bérenger Cernon","PO854439","GE","Impact des changements climatiques","2024-12-20","","Membre"
"PM866663","PA841243","Sébastien Saint-Pasteur","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-03-11","","Membre"
"PM859104","PA721816","Ian Boucard","PO851467","GA","France-Pologne","2025-01-24","","Membre"
"PM862231","PA720146","Denis Masséglia","PO851592","GA","France-Mexique","2025-02-04","","Membre"
"PM865931","PA795636","Benjamin Lucas-Lundy","PO851703","GA","France-Afghanistan","2025-03-03","","Membre"
"PM882345","PA841377","Emeline Rey-Rinchet","PO854439","GE","Impact des changements climatiques","2026-05-26","","Membre"
"PM865318","PA841613","Marc de Fleurian","PO854354","GE","Condition et bien-être des animaux","2025-02-19","2025-03-14","Membre"
"PM867574","PA795528","Charles Rodwell","PO851284","GA","France-Côte d'Ivoire","2025-03-25","","Membre"
"PM863142","PA795228","Nadège Abomangoli","PO851602","GA","France-République démocratique du Congo","2025-02-06","","Membre"
"PM862410","PA607193","Sophie Errante","PO851914","GA","France-Etats-Unis","2025-02-04","","Membre"
"PM866229","PA793532","Murielle Lepvraud","PO854471","GE","Handicap et inclusion","2025-03-05","","Vice-Président"
"PM864053","PA841769","Éric Michoux","PO851688","GA","France-Tunisie","2025-02-11","","Membre"
"PM867753","PA794702","Delphine Lingemann","PO854491","GE","Ruralité","2025-03-26","","Vice-Président"
"PM860799","PA841927","Anne-Sophie Ronceret","PO854476","GE","Cinéma et production audiovisuelle","2025-01-29","","Membre"
"PM878132","PA795350","Frédéric Valletoux","PO851663","GA","France-Iran","2026-01-28","","Membre"
"PM855496","PA720362","Belkhir Belhaddad","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-01-08","","Membre"
"PM854764","PA795466","Ersilia Soudais","PO854184","GE","Prisons et conditions carcérales","2024-12-19","","Membre"
"PM863500","PA342196","Claudia Rouaux","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-07","","Membre"
"PM883614","PA793374","Romain Baubry","PO851339","GA","France-Vietnam","2026-06-17","","Membre"
"PM860978","PA841919","Dieynaba Diop","PO851924","GA","France-Sénégal","2025-01-30","","Membre"
"PM855675","PA330909","Vincent Descoeur","PO854293","GE","Langues et cultures régionales","2025-01-10","","Membre"
"PM871970","PA794570","Alexandre Sabatou","PO851622","GA","France-Liechtenstein","2025-07-01","2025-09-07","Membre"
"PM854943","PA795888","Marie-Ange Rousselot","PO854273","GE","Discriminations et LGBTQI-phobies","2024-12-20","2025-11-05","Membre"
"PM861889","PA840979","Corentin Le Fur","PO851643","GA","France-Burundi","2025-02-03","","Membre"
"PM870625","PA842097","Sophie-Laurence Roy","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-06-04","","Membre"
"PM856586","PA722358","Thomas Gassilloud","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-16","","Membre"
"PM865322","PA841613","Marc de Fleurian","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-02-19","2025-05-06","Membre"
"PM855854","PA841381","Sophie Pantel","PO854195","GE","Antisémitisme","2025-01-13","","Membre"
"PM866233","PA794118","Antoine Vermorel","PO854471","GE","Handicap et inclusion","2025-03-05","","Secrétaire"
"PM856765","PA794058","Justine Gruet","PO854168","GE","Tourisme et patrimoine","2025-01-17","","Membre"
"PM865501","PA793664","Marie Pochon","PO851371","GA","France-Sri Lanka-Maldives","2025-02-20","","Membre"
"PM857676","PA841395","Maxime Michelet","PO851542","GA","France-Monaco","2025-01-23","","Membre"
"PM856944","PA721182","Frédéric Petit","PO854338","GE","Enjeux frontaliers et transfrontaliers","2025-01-20","","Membre"
"PM858587","PA794702","Delphine Lingemann","PO851557","GA","France-Moldavie","2025-01-23","","Membre"
"PM857855","PA795588","Farida Amrani","PO851284","GA","France-Côte d'Ivoire","2025-01-23","","Membre"
"PM860982","PA841919","Dieynaba Diop","PO851854","GA","France-Soudan","2025-01-30","","Membre"
"PM860369","PA720092","Richard Ramos","PO856882","GA","France-Palestine","2025-01-28","","Membre"
"PM859498","PA722374","Cyrille Isaac-Sibille","PO851339","GA","France-Vietnam","2025-01-27","","Membre"
"PM858766","PA267042","Yannick Favennec-Bécot","PO851734","GA","France-Djibouti","2025-01-23","","Président"
"PM861893","PA840979","Corentin Le Fur","PO851427","GA","France-Cap-Vert","2025-02-03","","Membre"
"PM867502","PA796050","Philippe Schreck","PO851628","GA","France-Portugal","2025-03-20","","Membre"
"PM856590","PA722358","Thomas Gassilloud","PO854434","GE","Élevage et pastoralisme","2025-01-16","","Membre"
"PM860548","PA335612","Jean-Paul Lecoq","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-01-28","","Membre"
"PM859677","PA721296","Guillaume Gouffier Valente","PO851582","GA","France-Philippines","2025-01-27","","Membre"
"PM855245","PA795636","Benjamin Lucas-Lundy","PO854454","GE","Aéronautique et espace","2024-12-29","","Membre"
"PM858945","PA795386","Mathieu Lefèvre","PO851376","GA","France-Italie","2025-01-24","2025-11-12","Membre"
"PM875359","PA841151","Alix Fruchon","PO851572","GA","France-Slovénie","2025-11-19","","Membre"
"PM860727","PA841191","Sandrine Nosbé","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-01-29","","Membre"
"PM856156","PA794114","Emmanuel Mandon","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-01-14","","Membre"
"PM859856","PA720154","Nicole Dubré-Chirat","PO854343","GE","Vigne, vin et œnologie","2025-01-28","","Membre"
"PM857680","PA841395","Maxime Michelet","PO851376","GA","France-Italie","2025-01-23","","Membre"
"PM861638","PA793218","Jordan Guitton","PO851919","GA","France-Chili","2025-01-31","","Membre"
"PM857067","PA794894","Anaïs Sabatini","PO854308","GE","Littoral","2025-01-20","","Membre"
"PM860194","PA794946","Antoine Villedieu","PO854540","GE","Sécurité privée","2025-01-28","","Membre"
