"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM868084","PA841893","Céline Thiébault-Martinez","PO851412","GA","France-Asie centrale","2025-04-02","","Vice-Président"
"PM855628","PA793844","Pascale Bordes","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-08","2025-02-14","Membre"
"PM871923","PA794570","Alexandre Sabatou","PO851754","GA","France-Chypre","2025-07-01","2025-09-07","Membre"
"PM857884","PA719528","Jean-François Portarrieu","PO851633","GA","France-Maurice","2025-01-23","","Membre"
"PM860398","PA720256","Géraldine Bannier","PO851587","GA","France-São Tomé et Príncipe","2025-01-28","","Président"
"PM866007","PA795636","Benjamin Lucas-Lundy","PO851688","GA","France-Tunisie","2025-03-03","","Membre"
"PM856539","PA774958","Gérard Leseul","PO854152","GE","Économie sociale et solidaire et responsabilité sociétale des entreprises","2025-01-15","","Membre"
"PM858795","PA794330","Anthony Brosse","PO851612","GA","France-Maroc","2025-01-23","","Membre"
"PM855807","PA719118","François Cormier-Bouligeon","PO854369","GE","Spectacle vivant","2025-01-13","","Membre"
"PM860577","PA721486","Christophe Naegelen","PO851612","GA","France-Maroc","2025-01-29","","Membre"
"PM864010","PA841769","Éric Michoux","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-02-11","","Membre"
"PM858974","PA607619","Paul Molac","PO851668","GA","France-Jordanie","2025-01-24","","Membre"
"PM860756","PA793322","Christelle D'Intorni","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-29","","Membre"
"PM869353","PA721458","Xavier Roseren","PO854364","GE","Thermalisme","2025-05-07","","Membre"
"PM859885","PA718838","Fabrice Brun","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-01-28","","Co-Président"
"PM862399","PA720446","Brigitte Liso","PO854246","GE","VIH et Sida","2025-02-04","","Membre"
"PM861667","PA720342","Nicole Le Peih","PO851789","GA","France-République du Paraguay","2025-01-31","","Président"
"PM857096","PA793158","José Beaurain","PO854471","GE","Handicap et inclusion","2025-01-21","","Membre"
"PM857808","PA793394","Arthur Delaporte","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-01-23","","Membre"
"PM879000","PA606573","Fanny Dombre Coste","PO851557","GA","France-Moldavie","2026-02-18","","Membre"
"PM856364","PA794570","Alexandre Sabatou","PO854497","GE","Réseaux sociaux","2025-01-15","","Membre"
