"Nom","Regime juridique","Site internet","Nombre de réunions annuelles","Député","Rôle","Nomination"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","M. Marc Fesneau","Membre suppléant","2024-11-06"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Danielle Brulebois","Membre titulaire","2024-03-07"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Barbara Pompili","Membre titulaire","2022-10-21"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Laurence Maillart-Méhaignerie","Membre titulaire","2020-10-21"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","M. David Lorion","Membre titulaire","2019-12-20"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Aurore Bergé","Membre titulaire","2024-11-06"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Maina Sage","Membre suppléante","2019-12-20"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Chantal Jourdan","Membre suppléante","2023-03-28"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Nicole Sanquer","Membre suppléante","2024-11-06"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","Mme Laurence Heydel Grillere","Membre titulaire","2023-11-30"
"Conseil d'administration de l'Office français de la biodiversité","Article L. 131-10 du code de l’environnement",,"0","M. Perceval Gaillard","Membre titulaire","2022-10-21"
"Conseil national de l'économie sociale et solidaire","Article 4 de la loi n° 2014-856 du 31 juillet 2014","http://www.esspace.fr/csess.html","64","M. Yves Blein","Membre titulaire","2017-09-20"
"Conseil national de l'économie sociale et solidaire","Article 4 de la loi n° 2014-856 du 31 juillet 2014","http://www.esspace.fr/csess.html","64","Mme Muriel Ressiguier","Membre suppléante","2017-09-20"
"Conseil national de l'économie sociale et solidaire","Article 4 de la loi n° 2014-856 du 31 juillet 2014","http://www.esspace.fr/csess.html","64","M. Gérard Leseul","Membre titulaire","2022-10-21"
"Conseil national de l'économie sociale et solidaire","Article 4 de la loi n° 2014-856 du 31 juillet 2014","http://www.esspace.fr/csess.html","64","Mme Valérie Rossi","Membre titulaire","2024-11-06"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Nicolas Forissier","Membre titulaire","2011-01-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Philippe Huppé","Membre titulaire","2017-11-21"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean-Luc Warsmann","Membre titulaire","2011-01-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean-Luc Warsmann","Membre titulaire","2006-02-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","Mme Carole Delga","Membre titulaire","2012-10-04"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Yves Coussain","Membre titulaire","2006-02-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Dominique Potier","Membre titulaire","2012-10-04"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Alain Calmette","Membre titulaire","2015-06-18"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Nicolas Forissier","Membre titulaire","2007-08-01"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean-Luc Warsmann","Membre titulaire","2007-08-01"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","Mme Géraldine Bannier","Membre titulaire","2017-11-21"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean Launay","Membre titulaire","2011-01-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","Mme Isabelle Valentin","Membre titulaire","2017-11-21"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Pierre Morel-À-L'Huissier","Membre titulaire","2012-10-04"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean Launay","Membre titulaire","2006-02-14"
"Conférence de la ruralité","Articles 1er de la loi n° 2005-157 du 23 février 2005 et 1er du décret n° 2005-1424 du 17 novembre 2005",,"0","M. Jean Launay","Membre titulaire","2007-08-01"
"Haut Conseil de la famille, de l'enfance et de l'âge – Famille","Article L. 142-1 du code de l'action sociale et des familles","http://www.hcfea.fr/","1","M. Thibault Bazin","Membre titulaire","2024-11-06"
"Haut Conseil de la famille, de l'enfance et de l'âge – Famille","Article L. 142-1 du code de l'action sociale et des familles","http://www.hcfea.fr/","1","Mme Annie Vidal","Membre titulaire","2017-10-16"
"Haut Conseil de la famille, de l'enfance et de l'âge – Famille","Article L. 142-1 du code de l'action sociale et des familles","http://www.hcfea.fr/","1","Mme Michèle Peyron","Membre titulaire","2022-10-21"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Jean-François Lamour","Membre titulaire","2011-12-01"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Pacôme Rupin","Membre titulaire","2017-10-25"
